en,vi
"If you do not want the capping here that is fine, the hospital is also good","Nếu em không muốn làm vòng tránh thai ngay ở đây, bệnh viện cũng được"
"If you do not want the capping here that is fine, the hospital is also good","Nếu không muốn làm thủ thuật ở đây, bệnh viện cũng là một lựa chọn tốt"
Why do you always have to be like this?,Tại sao anh luôn phải thế này
Why do you always have to be like this?,Sao anh lúc nào cũng phải hành động như vậy
Why do you always have to be like this?,Tại sao anh lúc nào cũng cư xử như thế này
"Oh, my God, I have lost the will to scold","Oh, my God, Tớ mất luôn ý chí than vãn rồi"
"Oh, my God, I have lost the will to scold","Ôi Chúa ơi, tôi không còn muốn trách móc nữa"
"Oh, my God, I have lost the will to scold","Trời ơi, tôi chẳng còn sức để mà phàn nàn nữa"
They make crunching numbers sound sexier than it actually is,Mấy cái tên đó nghe có vẻ hay ho vậy thôi
They make crunching numbers sound sexier than it actually is,Những người đó khiến việc tính toán nghe thú vị hơn thực tế
They make crunching numbers sound sexier than it actually is,Những con số khô khan mà họ nói làm nghe có vẻ hấp dẫn hơn thực tế
Was it like what happens with the birds?,Có phải nó giống như việc đã xảy ra với lũ chim
Was it like what happens with the birds?,Nó có giống như những gì xảy ra với những con chim không
Was it like what happens with the birds?,Nó có giống như chuyện xảy ra với lũ chim không
"However, the people of the Arctic are born survivors","Tuy nhiên, con người của Bắc Cực được sinh ra là để tồn tại"
"However, the people of the Arctic are born survivors","Tuy vậy, những người sống ở Bắc Cực đã được sinh ra để sống sót"
"However, the people of the Arctic are born survivors","Dù vậy, người dân Bắc Cực luôn là những người sống sót trong mọi tình huống"
"Climate change denial, or global warming denial, is part of the global warming controversy","Phủ nhận biến đổi khí hậu, hoặc phủ nhận quá trình ấm lên toàn cầu, là một phần của cuộc tranh luận về ấm lên toàn cầu"
"Climate change denial, or global warming denial, is part of the global warming controversy","Phủ nhận biến đổi khí hậu, hay còn gọi là phủ nhận sự nóng lên toàn cầu, là một phần trong cuộc tranh cãi về biến đổi khí hậu"
"Climate change denial, or global warming denial, is part of the global warming controversy","Sự phủ nhận biến đổi khí hậu, hoặc phủ nhận quá trình nóng lên toàn cầu, là một phần trong cuộc tranh luận về vấn đề này"
My father is not open with anyone,Bố không cởi mở với bất cứ ai
My father is not open with anyone,Bố tôi không dễ chia sẻ với ai cả
My father is not open with anyone,Bố tôi không phải là người cởi mở với người khác
Why did you draw something like this?,Sao cậu lại vẽ những thứ này
Why did you draw something like this?,Tại sao cậu lại vẽ cái này
Why did you draw something like this?,Vì sao cậu lại vẽ những hình ảnh như vậy
"This guy who is following you, he is very persistent","Thằng cha theo sau các bạn đó, thiệt là dai như đỉa"
"This guy who is following you, he is very persistent","Gã này theo sau bạn mãi không bỏ, thật kiên trì"
"This guy who is following you, he is very persistent","Gã đàn ông theo bạn cứ bám theo mãi, thật kiên trì"
And some laudanum for that cough of yours,Và ít cồn trị ho cho các vị
And some laudanum for that cough of yours,Tôi sẽ cho bạn chút thuốc laudanum để trị ho
And some laudanum for that cough of yours,Tôi sẽ cho bạn một ít thuốc laudanum để giảm cơn ho
What about a pulmonary contusion?,Phổi có bị rách không
What about a pulmonary contusion?,Vậy còn vết thương ở phổi thì sao
What about a pulmonary contusion?,Phổi có bị tổn thương gì không
There is some kind of love there,Có vài kiểu yêu đương khác
"If that was a failure, I would hate to see what success looks like","Nếu đến như thế mà vẫn là thất bại, thì không hiểu thành công thì nó sẽ thế nào"
Curing your distaste for infidelity by turning to men ?,Sự chán ghét đã khiến anh ấy Thích quan hệ với đàn ông
"American Society for Psychical Research Director of Research, Karlis Osis, conducted experiments in out of body experiences","Karlis Osis, giám đốc nghiên cứu của American Society for Psychical Research, đã tiến hành các thí nghiệm về trải nghiệm thoát xác"
"No, no, no, the countdown is for me","Không không, đếm ngược cho tôi cơ"
Maybe it was some other daughter,Có khi lại là con gái thằng bạn
"That is what I want to change, eh ?",Đó là điều tôi muốn thay đổi
They have to be in there,Họ phải có mặt trong luật
"You are his insurance, all right ?","Anh là sự bảo đảm của nó mà, phải không"
The substance is used as a reagent to make other lead compounds and as a fixative for some dyes,Chất này được sử dụng làm thuốc thử nhận biết các hợp chất chứa chì khác và làm chất cố định cho một số thuốc nhuộm
"But you need to promise me something, okay ?","đổi lại anh phải hứa với tôi một chuyện, okay"
"Rise and walk with me, creator","Đứng dậy và đi theo ta, cha đẻ"
Commercial samples of zinc chloride typically contain water and products from hydrolysis as impurities,Các mẫu thương mại của kẽm clorua thường chứa nước và các sản phẩm tạp chất từ thủy phân
Has anyone touch the body ?,Có ai đụng vào thi thể chưa
Both of the major South Korean telecommunications companies have installed cellular telephone towers on the islets,Cả hai công ty điện thoại lớn của Hàn Quốc đều có các tháp viễn thông trên các đảo nhỏ
I entrust all the preparations to these guys,Tôi giao phó mọi công đoạn chế biến cho tụi nó
Because you happen to have a ship and a crew you do not need ?,Vì trông ông có vẻ không cần tàu và thuỷ thủ lắm
He killed Lila and fears I am gonna kill him for it,Hắn giết Lila và sợ tôi sẽ giết hắn vì điều đó
We can stop supporting professional sports where the athletes treat their partners like punching bags,Chúng ta có thể dừng ủng hộ các vận động viên khi họ xem đồng đội nữ không hơn cái bàn đạp
They grow up to be women who silence themselves,Họ trở thành những phụ nữ câm nín
What do you see here ?,Bạn thấy gì ở đây
"This is the island of the pregnant woman, no ?","Đây là đảo của bà bầu, phải không"
He keeps advocating his radical ideas,Cậu ấy luôn truyền bá các tư tưởng cấp tiến
Also known as Red Red,Chúng cũng được gọi là đầu đỏ
"If your kid loves you so much, why is he leaving ?","Nếu đứa bé đó yêu các ngươi nhiều vậy, sao nó lại bỏ đi"
Tadakiyo died the following year,Theodosius II qua đời vào năm sau
They threatened to take her unless my father went to work for them,Họ dọa sẽ mang em ấy đi trừ khi bố tôi đồng ý làm việc cho họ
I want to do something,Tôi muốn làm một cái gì đó
"Lord, we thank Thee for this food, Thy blessings","Cám ơn Chúa về bữa ăn này, về sự phù hộ của Ngài"
Who said I wanted out ?,Ai nói là tôi muốn ra ngoài chứ
"DCFS is on your side, everyone",Bộ Gia Đình đứng về phía các bạn
Hardly had a peek at it,Rất hiếm khi nhìn thấy được nó
Other large fish also feed on adult herring,Cá lớn khác cũng ăn cá trích trưởng thành
"I know, cause I busted it",Tôi biết vì tôi phá nó
"First, you have the issue of figuring out where to protect","Thứ nhất, bạn sẽ gặp vấn đề về tìm nơi để bảo vệ"
I think the human race does not have a future if it does not go into space,Tôi nghĩ rằng nhân loại sẽ không có tương lai nếu không đi ra ngoài không gian
This is starting to get a little bit repetitive,Có vẻ tôi đang lặp lại hơi nhiều
"And as her death drew near, she new that he must never hold the heavenly sword","Và cái chết của nàng đã gần kề, nàng biết rằng lão không bao giờ giữ được thiên linh kiếm"
He is being questioned in another room,Ông ta được tra hỏi ở phòng khác
And this is what it sounds like,Và nó nghe như thế này
"If we had not saved you, you would be one of them right now",Nếu không được bọn cô cứu thì giờ cháu đã thành xác sống rồi
I want to introduce you,Tôi muốn giới thiệu đến các bạn
Scared of being hurt someday,Sợ một ngày nào đó bị tổn thương
How come I never heard of this before ?,Sao tôi chưa từng nghe về điều này trước đây nhỉ
"Not even an Incomplete, right ? Just a straight F ?",Một điểm F thẳng thừng luôn hả
"Now, how long do you think April will go out with you then ?",mày nghĩ sẽ mất bao lâu để mày và nó tách nhau ra
She explained it was for her bird,Cổ giải thích là để cho con chim
And here are There are the names of all the barons that signed the charter,Và đây là  những cái tên của tất cả các nam tước đã ký vào hiến chương
It helps us cut through the noise,Nó sẽ giúp chúng ta loại bỏ những ầm ĩ
And I know many of you in this audience want to have babies but you are terrified about the future,Và tôi biết nhiều người trong hội trường muốn có con nhưng các bạn kinh sợ khi nghĩ đến tương lai
Cause she does not have to care,Vì cô ấy không cần phải chăm sóc
There is no need to freak out,Không cần phải hoảng hồn lên
I am not even gonna entertain this conversation,Tôi thậm chí chẳng thấy buồn cười
"In Palma, she studied under Sven Westman and collaborated with her brother on the magazine Baleares","Ở Palma, bà theo học Sven Westman và cộng tác với anh trai mình trên tạp chí Baleares"
They got a little taste of victory,Chúng đã biết mùi chiến thắng
I just needed somewhere to clear my head,Tôi chỉ muốn tìm chỗ giải tỏa căng thẳng
"They are asking, OK, if we know that to be true, which of these statements can we conclude from that ?","Họ đang yêu cầu, OK, nếu chúng ta biết rằng là đúng, mà Các báo cáo này chúng tôi có thể kết luận từ đó"
The insurrection was soon over when another syndic appeared and ordered Perrin to go with him to the town hall,Cuộc nổi dậy kết thúc khi một quan tòa khác xuất hiện và ra lệnh Perrin về tòa thị sảnh với ông
"To construct Coricancha, the Inca utilized ashlar masonry, which is composed of similarly sized cuboid stones","Để xây dựng Coricancha, người Inca sử dụng khối xây bằng đá cuội, gồm các khối đá hình khối tương tự"
He is Americas best,Anh ta là người giỏi nhất nước Mỹ đó
You think a few million dollars would solve the problem ?,Con nghĩ một vài nghìn đô la thì sẽ giải quyết vấn đề à
It says something about you,Nó nói lên điều gì đó về cậu
Did he tell you he killed Thomas McAllister ?,Anh ta có nói với cô mình đã giết Thomas McAllister không
We did not even have a chance to fight,Thời gian con đánh với nó còn không có
Are we artillery observers or are we playing cards ?,Ta đang nghiên cứu pháo hay đang chơi bài
So you are saying it is someone who knew them ?,Vậy anh nói đây là người biết những chuyện đó sao
I think that gender equality is very important,Tôi nghĩ rằng bình đẳng giới là rất quan trọng
"Christina was treated with respect by the young Louis XIV and his mother, Anne of Austria, in Compiègne","Christina được đối xử tôn trọng bởi Louis XIV thiếu niên và mẹ, Anne của Áo, tại Compiègne"
I can also see that I will be of no further use to you,Tôi cũng nhận thấy là tôi không còn cần thiết cho anh nữa
And now you are an outcast,Và giờ anh bị bỏ rơi
Say we want to send astronauts who will need water,"Chúng ta muốn gửi các phi hành gia, những người cần nước"
Andhesignalsfor thebigguystogo intothenextroom,Rồi hắn ra hiệu cho hai tên bự con đi qua phòng kế bên
I will try to come over,Cháu đang cố qua đó đây
"She was known for her naïve art paintings, depicting Brazilian common people, religious themes and landscapes","Cô được biết đến với những bức tranh nghệ thuật ngây thơ của mình, miêu tả những người dân Brazil với chủ đề về tôn giáo và phong cảnh"
I do not think it was you,Thầy không hề nghĩ đó là con
Officers down at the corner of Main with Constitution,Các nhân viên đã bị bắn ở góc đường chính
But I also have confidence,Nhưng mình cũng có tự tin nữa kìa
"Problems they need to solve include how to obtain enough water, how to avoid being eaten and how to reproduce","Vấn đề mà chúng cần phải giải quyết bao gồm việc làm thế nào để có được đủ nước, làm thế nào để tránh bị ăn và làm thế nào để sinh sản"
I think it is a drone strike,Tôi nghĩ là không kích hỏa tiễn không người lái
"Okay, that does not explain why he is hiding in your closet","Được thôi, điều đó cũng không giải thích tại sao cậu ta lại trốn trong tủ của con"
You neednt be in such a hurry to agree,Anh không cần phải vội vàng đồng ý như vậy
The army fought in the Leningrad Strategic Defensive Operation,Chiến dịch phòng ngự chiến lược Leningrad
That is the opera I made my debut in at La Scala,Đó là cái màn mà tôi đã trình diễn lần đầu tiên ở La Scala
Caused by a past supernova,Nguyên nhân bởi một siêu tân tinh trong quá khứ
We thought he might reach out to such a man for help,Chúng tôi nghĩ rằng hắn có thể tiếp cận ai đó để nhận sự trợ giúp
We predict ourselves into existence,Chúng ta phán đoán để tồn tại
"What I am about to do, you cannot be a part of",Những gì em sắp làm anh không được tham gia cùng
"When these titans clash, bones crunch","Khi những kẻ khổng lồ giao tranh, xương kêu răng rắc"
It is gonna take a while to get this mess cleaned up,Sẽ mất một thời gian để dọn sạch chỗ này
It really seemed we would spend our lives together,Có vẻ như đúng là chúng tôi sẽ sống trọn đời bên nhau
I have my own crosses to bear,Tôi có nỗi khổ riêng mình gánh chịu
So you flip out and act like a crazy folk singer ?,Nên cậu trở mặt ra và hát như một thằng ca sĩ dân ca điên khùng
He makes the knights eat all kinds of disgusting stuff,Anh ấy toàn bắt hiệp sỹ ăn mấy thứ kinh tởm
"Sir, you can not stand there","Thưa ông, không thể đứng đó được"
Teach Oliver Queen we only ask but once,Dạy cho Oliver Queen biết chúng ta chỉ nói một lần thôi
"You tell her bad things about me, do not you ?","Bà nói xấu tôi với nó, phải không"
I am trying to figure out what is next,Tôi đang cố nghĩ xem mình nên làm gì tiếp theo
It needs the stomach to create the energy,Nó cần dạ dày để tạo ra năng lượng
"Some partially melt, and can release lubricating fluids made of superheated minerals that reduce fault line friction",với ma sát và nhiệt độ cao  Một số sẽ tan chảy một phần thành chất lỏng chứa các chất khoáng cực nóng làm giảm ma sát ở vị trí đứt gãy
"So just chill with the attitude, okay ?","Vậy, thư giãn đi chứ, được không"
I need to know that I can trust you,Tôi muốn biết là tôi có thể tin ông
I mean this is within our childrens lifetime,Thời điểm thế hệ con cháu chúng ta đang sống
You are two halves of Jim Gordons heart,Hai người là hai mảnh trái tim của Jim Gordon
So what they did was that they had a new area that they wanted to develop in the city,Họ tạo cho người thi một vùng đất mới giống vùng đất họ muốn phát triển trong thành phố
A flying motorcycle,Một chiếc xe gắn máy đang bay
"If you got any other surprises, I think I ought to know about them","Nếu anh còn ngạc nhiên nào khác, tôi nghĩ là tôi cần phải biết"
I can get however much money you need,Tôi có thể đưa bất cứ số tiền nào mà các người cần
"Pete, stay here with Alison and Annie","Pete, con ở lại với Alison và Annie"
"If you actually look at a great business, you will nearly always see all of these three things coming into play","Nếu bạn nhìn vào một doanh nghiệp vĩ đại, hầu như luôn luôn, bạn sẽ tìm thấy sự có mặt của tất cả ba điều này"
"Okay, so that was easy, right ?","Được rồi, dễ phải không nào"
"Smart TV should not be confused with Internet TV, IPTV or Web television","Không nên nhầm lẫn TV thông minh với Internet TV, IPTV hoặc TV Web"
"You think less of me, do not you ?",Em nghĩ anh hèn đúng không
That is the way it is,"Đó đơn giản là điều xảy ra,"
"All right, but the car will not be powerful","Thôi được, nhưng xe cấm được vũ trang"
The Book of Leaves will save us all,Cuốn Sách Lá sẽ cứu tất cả chúng ta
This is the earliest manuscript that exists and the only one in Mohrs handwriting,"Đây là bản cổ nhất, cũng là bản viết tay duy nhất của Mohr"
This is the idea behind beamed power,Việc này được cho là nguyên nhân gây suy yếu chính quyền phong kiến
"They tell stories about Blade, the bogeyman",Người ta kể chuyện Blade cho tôi nghe
Let me go figure this out,Để mình nghĩ thêm đã
Eccentricity is indicated by yellow bars illustrating the objects maximum and minimum distances from Jupiter,Độ lệch tâm quỹ đạo được biểu thị bởi các đường kẻ màu vàng minh họa khoảng cách tối đa và tối thiểu của một vật thể tới Sao Mộc
"Hey, fool, you need to call an air strike on yourself","Này anh bạn, Tự mà nghe lấy đi nhé"
"You know you are the most important person in the world to me, right ?","Bạn biết bạn điều quan trọng nhất người trong thế giới với tôi, phải không"
This idea of scale is critical,Ý tưởng về thang đo lường này thiết yếu
"Yeah, sure they were, kid","Yeah, đúng là vậy, nhóc"
"Okay, I really can not take this guy anymore","Được rồi, tôi thật sự không thể chịu nổi gã này"
You have the benevolence of sages,Quả nhiên là người nhân từ hiền đức
Certanly not cooling of between kills anymore,Rõ ràng không còn dễ dãi giữa các lần giết nữa
She worked in Geneva for the High Commissioner for the Refugees of the UN,Cô làm việc tại Geneva cho Cao ủy cho người tị nạn của Liên hợp quốc
Have you ever heard of the Donkey Theorem ?,Em có biết định lí Donkey không
Unless you want an outbreak at your hospital,Trừ khi ông muốn có dịch tại bệnh viện
Its capital is the city of Rieti,Tỉnh lỵ là thành phố Rieti
So I got into directing music videos,Vì vậy tôi đã chọn làm nghề đạo diễn video ca nhạc
"Yeah, it is, uh it is a Buddhist tradition","Ừ, đây là truyền thống của Đạo Phật"
Nothing goes on the walls that can not be taken down before the next service,Không có cái gì ở trên tường mà không thể tháo ra trước khi lễ tiếp theo được tiến hành
Look what happened,Hãy nhìn xem chuyện gì đã xảy ra hả
He says the liver the president received was supposed to go to a man named Anthony Moretti,Anh ta nói lá gan mà Tổng thống được cấy ghép được cho là tới từ một người đàn ông tên Anthony Moretti
You get permission from Miss Martha ?,Cô có hỏi cô Martha chưa
It is the first day of Gettysburg,Đó là ngày đầu tiên ở Gettysburg
"Forgery of the highest possible standard, but a forgery it must be","Kỹ thuật giả mạo cực kỳ cao thâm, nhưng vẫn là giả mạo"
Continue with the investigation,Hãy tiếp tục cuộc điều tra
You up for Another drive ?,Cô muốn đi nhờ không
They want to know how I got here,Họ muốn biết tôi làm như thế nào
I thought the tests had failed,Tôi tưởng thí nghiệm đã thất bại
"It is the safest place to come, he said, pushing it all the way in","Đây là nơi an toàn nhất để cho vào, anh nói, anh đang đẩy nó đúng lối vào"
"If I take this job today, with Davis and Main does that mean that you and me","Nếu hôm nay anh nhận việc này, ở Davis Main có phải anh và em"
"I do not mean pleasure, I mean I did not mind","Ý tôi không phải là vui, nhưng cũng không phiền"
I have the strangest sense we have met before,Tôi có một cảm giác rất kỳ lạ rằng trước đây chúng ta đã gặp nhau
You will not be getting a thing if you do not stop bellyaching,Em sẽ không được gì hết nếu em không thôi cằn nhằn
I told you eveything,Tôi đã nói với cô tất cả
"With this second strike, it could be a spree","Với cuộc tấn công thứ hai này, nó có thể bạo tay hơn"
I do not like the way you make conversation,Tôi không thích cách nói chuyện của ông
Wanted to understand all those things she was moaning,Muốn hiểu những thứ mà cô bé đó kêu rên
It is just that nobodys got the balls to come right out and say it,Chỉ là không ai đủ can đảm nói ra điều này thôi
Rapidly progressive dilated cardiomyopathy,Nhưng bệnh đi quá nhanh đã làm tim bị phình
Suture it later to stop the arterial bleeding,Khâu nó sau để ngừng chảy máu động mạch
The airline that is your home in the sky,Hãng hàng không lấy trời xanh làm nhà
I could treat it like a missing persons case,Tôi không thể coi đây là một vụ mất tích
Robert lay asleep in the bed,Robert nằm ngủ trên giường
"From a young age, Martin Chatwin had a gloomy nature","Từ khi còn nhỏ, tính cách của Martin Chatwin đã rất u sầu"
No one can get in anymore,Sẽ không còn ai vào được nữa
My dearest friend,Bạn thân nhất của tớ
Blue colors mean it is profitable,Màu xanh nghĩa là đem lại lợi nhuận
He is known him a long time,James biết anh ta lâu rồi
"Please, babe, just go home and talk to her","Thôi nào cưng, về nhà và nói chuyện với cô ấy đi"
I understand this is important,Cha hiểu việc này quan trọng
"Faithfull, if you are done with the laundry, please go home","Hy Vọng à, nếu như muội giặt áo xong rồi Thì có thể về được rồi đó"
I decide what is right and what is wrong,Tôi quyết định chuyện phải trái
"that likes what we love,","như những gì ta hằng yêu quý,"
Fits the description of the one,Khớp với miêu tả chiếc xe
"I know you are poor now, but buy your own",Tôi biết cậu nghèo nhưng cái đó thì phải tự mua chứ
I hope I can trust you to keep the secrets of the past buried,Em mong có thể tin tưởng anh chôn sâu những bí mật trước đây
Bruised Royal Ann cherries will taste the same mashed into a pie or in canned preserves,Anh đào Royal Ann màu tím bầm sẽ giữ được hương vị khi nghiền thành một chiếc bánh hoặc trong bảo quản đóng hộp
Fashion can communicate our differences to the world for us,Thời trang có thể kết nối những khác biệt của chúng ta với thế giới
Someone is sending you a message,Có kẻ đang cảnh báo ông đấy
This guy aint breathing unless he is breathing spaghetti sauce,Gã ta không thể thở được trừ khi gã thở bằng nước xốt spaghetti
"Actually, no, I am not","Thực sự, không, không phải như vậy"
Just spoke with Felicity,Vừa nói chuyện với Felicity
It is an aggressive move from Hunt,Một nỗ lực tấn công của Hunt
"His parents are probably idiots, too",hai người đó chắc cũng ngốc luôn
But not afraid to do the job I have to do,Nhưng chỗ khác là tôi ko e ngại chuyện mình phải làm
"Uh, do you wanna do the interview ?",Ông muốn làm phỏng vấn không
"Oh, this is a misprint","Oh, ở đây bị in nhầm"
I am throwing away the law,Ta dụt bỏ mọi điều luật
"Now, I want to clarify something","Bây giờ, tôi muốn làm sáng tỏ vài điều"
"There were many secondary earthquakes in the region, mainly to the northwest of the original epicentre","Có nhiều động đất thứ cấp trong khu vực, chủ yếu là tại phía tây bắc của chấn tâm gốc"
As soon as he has confirmation on the wire transfer he is going to ask me to take action against you,Ngay khi có xác nhận tiền đã chuyển hắn sẽ bắt buộc tôi hành động chống lại ông
We have pulse phase cannons and spatial torpedoes,Ta có pháo và ngư lôi
My wife says that nobody has been near her this morning,"Bác sĩ Han, vợ tôi nói với tôi là sáng nay không có ai ở bên cạnh bả"
Since no one has seen a body the media is circulating all kinds of rumors,Vì không ai thấy xác đâu cả nên các phương tiện truyền thông đang thêu dệt đủ chuyện
"Wait a minute, that does not make any sense","Chờ đã, điều này không có bất kỳ ý nghĩa gì"
There is no vacation for heroes of the West,Người hùng viễn tây không nghỉ mát
Have you and the missus zeroed in on a dining establishment ?,Ngài và phu nhân có bữa ăn tối như đã định không
"It also makes you sleepy, and you lose your appetite and thirst","Nó cũng làm cho bạn buồn ngủ, và không muốn ăn uống gì cả"
Landline goes directly to our local office,Điện thoại cố định liên lạc trực tiếp tới văn phòng của chúng tôi tại địa phương
But I know that I want to,Nhưng em biết là em muốn
That is more than I deserve,Còn hơn những gì tôi đáng nhận
"The guests do not return for the obvious things we do, the garish things","Khách sẽ không quay trở lại vì những thứ hiển nhiên chúng ta làm, những thứ lòe loẹt"
"If there is no peace between us, then how can you expect others to follow suit ?","Nếu chúng ta không hòa thuận, vậy làm sao mà trông chờ kẻ khác noi theo"
"I would like to keep talking with yall, but the captain needs me","Tôi muốn tám tiếp lắm, nhưng đội trưởng gọi mất rồi"
I thought we were gonna hang out,Tôi nghĩ chúng ta chỉ tán dóc
We have multiple missing persons,Có nhiều người mất tích
"Norway later withdrew, but Austria, Greece, Italy, Spain, and Switzerland all joined","Na Uy sau đó đã rút, nhưng Áo, Hy Lạp, Ý, Tây Ban Nha và Thụy Sĩ đều tham gia"
"The first two, I have never had much use for","Hai điều đầu, chưa phải là cần thiết nhất"
Yet it pierced through a soldiers body,Nó đã đâm xuyên qua cơ thể của một trong ba lính Bắc Triều
"Amphoteric oxides include lead oxide and zinc oxide, among many others","Oxit lưỡng tính bao gồm oxit chì và oxit kẽm, trong số nhiều loại khác"
"But if it is swordsmen who rule, why do we pretend kings hold all the power ?","Nhưng nếu tay kiếm đó cai trị, tại sao ta còn giả vờ quyền lực đều nằm trong tay vua"
"I was wrong to support renlys claim, i know that",Ta đã sai khi ủng hộ Renly tiếm ngôi
I love to ride that rail,Tớ thích đi xe trên đường sắt
It was the day the Prairie dogs lost the big playoff game,Đó là ngày đội Prairie thua trận chung kết
"Are you forgetting about Chenzhou ? Yes, i forgot",Mày quên Chân Châu rồi sao
"Can not be out of uniform, Hood","Không được cởi quân phục, Hood"
That is what my friends in juvie said,Bạn cháu trong trại nói thế
This is coupled with a general doubtfulness in the West of persecuted refugees,Điều này đã xảy ra song hành với sự nghi ngờ nói chung của phương Tây về những người tị nạn bị đàn áp
"She will then lie, waiting for her cubs to be born as winter sets in","Sau đó nằm xuống, chờ lũ gấu con sinh ra khi mùa đông bắt đầu"
"Now, you old goat, why do not you tell me my","Giờ thì, bà dê già sao bà không nói cho ta về"
"No, you will not get rid of me that way","Không, anh sẽ không hạ được tôi bằng cách đó đâu"
"Bro, what is wrong with that girl ?","Sư huynh, cô gái kia có phải bị bệnh không vậy"
We already have your undercovers details from the Hong Kong police,Chúng tôi đã có chi tiết về nội gián của anh từ cảnh sát Hong Kong
"The central portion of Majorca is a plain, bounded on the east and the southeast by broken hills","Phần trung tâm của Majorca là một đồng bằng, bị giới hạn về phía đông và đông nam bởi các vùng đồi đứt đoạn"
Indeed they would say religion is based on faith or maybe the calculus of Pascals wager,"Thật vậy, họ có thể nói tôn giáo là dựa trên đức tin hay có thể tính toán việc cá cược của Pascal"
"So at midnight, I can kiss her","Vậy nửa đêm, tớ sẽ hôn cô ấy"
We were so intense I thought we would get married,"Chúng tôi đã rất sâu đậm, và tôi đã nghĩ chúng tôi sẽ cưới nhau"
"Victor, you can not let her go along with a a","Victor, ông không thể để nó đi theo một một"
"Well, my friend, we are in college now",bây giờ chúng ta đang ở trường đại học
Only then was it possible to determine the extent of Leibnizs unpublished work on logic,Chỉ sau đó mới có thể xác định mức độ công việc chưa được công bố của Leibniz về logic
Dance has never had a better friend than technology,"Với sự trợ giúp của công nghệ thông tin,"
Credit machine not working tonight,Máy quét thẻ đêm nay không hoạt động
He saw the strategic potential of the area with the Noi River as a natural obstacle for the Burmese troops,Ông đã nhìn thấy vị trí chiến lược của khu vực với sông Noi là rào cản tự nhiên đối với quân Miến Điện
A man like Cao Cao can only make things worse,"Tiểu nhân như Tào Tháo, chỉ lệnh thiên hạ làm loạn thôi"
Because I am a gentleman,Vì mình là một quý ông mà
Maybe lying does not come as easily to me as it does to you,Nhưng có lẽ đó là vì khoản nói dối em không bằng anh được
Was not really thinking Was not looking,"Thật sự không hề suy nghĩ, không hề để ý"
Perhaps it led into the garden which no one had seen for ten years,Có lẽ nó đã dẫn vào khu vườn mà không có ai đã nhìn thấy trong mười năm
I am your Uncle Chandler,Ta là cậu Chanlder của con
Buprenorphine affects different types of opioid receptors in different ways,Buprenorphin ảnh hưởng đến các loại thụ thể opioid khác nhau theo những cách khác nhau
"Now, we are all aware that an early diagnosis that is accurate is critical for survival","Bây giờ, chúng ta được biết rằng một sự chẩn đoán sớm và chính xác là tối quan trọng để sống sót"
We are in the same grade,Chúng con cùng khối ạ
I am gonna push you like you have never been pushed before,Tôi sẽ thúc ép các cậu như chưa bao giờ được làm trước đây
"You can not just let him sit here in agony until his parents finally decide Leah, it is okay",Anh không thể cứ để anh ấy đau cho đến khi bố mẹ quyết không sao mà
"Wings of Titania, bear mine eyes aloft as I bid thee","Hỡi đôi cánh của Titania, hãy mang đôi mắt con lên phía cao kia như thể con trả nó cho Người"
Nurse I talked to said that his dad was on his way over there,Cô y tá tôi nói chuyện cho biết cha của cậu ta đang tới đó
The first son of each generation,Cho người con trai đầu lòng của mỗi thế hệ
As close as I am to you right now,Gần như tôi với ông ngay bây giờ
He is figuratively standing at the edge of a pond,Ông ta đang đứng ở rìa cái hồ theo tính hình tượng thôi
You said that they built something they should not have,Cô bảo người ta đã chế ra một thứ không nên chế
She has to go with a stork,Và cổ phải đi với một con cò
"Commander Richter, the search for the device ?","Đội trưởng Richter, việc tìm kiếm thiết bị thế nào rồi"
There is some truth in what he says,Có vài sự thật trong lời ổng nói
"Most robot arms have replaceable effectors, each allowing them to perform some small range of tasks","Hầu hết các cánh tay robot đều có thiết bị thực thi đầu cuối có thể thay thế được, mỗi kiểu thiết bị này cho phép robot thực hiện công việc trong một phạm vi nào đó"
"And it says she is doing some final touches on an extra special presentation for you, and she will be right here",Nó nói cô ấy đang hoàn thành những chi tiết cuối cùng cho một màn trình diễn đặc biệt dành cho ông  Họ đến ngay đây
I do not think we can make any runway,Chúng tôi không đến nổi đường băng nào cả
A token of my trust in your judgment,Bằng chứng cho niềm tin của tôi vào quyết định của cậu
"As it, so happens, I am aware of your situation, Narcissa","Tình cờ thôi, tôi biết chuyện của bà, Narcissa"
"I know you prefer champagne, but you can count on Crystal","Tôi biết cô thích sâm panh hơn, nhưng hãy tin vào Crystal"
Did you mean what you said the other night ?,Điều anh nói tối hôm trước là thật chứ
"Okay, look, I need to be alone with you, someplace not here","Tôi cần nói chuyện với anh một mình, ở nơi nào đó, không phải nơi đây"
But the harder I tried the further I would just,"Nhưng ba càng cố gắng, lại càng tụt xa hơn, ba đã"
Swearing to God he is gonna leave her alone,Hắn thề thề thốt thốt là sẽ để cô ta yên
"You may have been dissatisfied with this talk, but fundamentally you have to go and read this stuff","Bạn có thể ko hài lòng với bổi nói chuyện này, nhưng cơ bản bạn nên tìm đọc vấn đề này"
One of the main advantages of collective investment is the reduction in investment risk (capital risk) by diversification,Một trong những lợi thế chính của đầu tư tập thể là giảm rủi ro đầu tư (rủi ro vốn) bằng cách đa dạng hóa
Tomorrow we will both go and we will tell him together,Ngày mai cả hai chúng ta sẽ cùng đi và cùng nói cho cậu ấy biết
